 R, alpha*, omega_i, < dE/dt >, < % error >,
   1805.00    ,  0.500000    , -0.115938E-01, -0.115823E-01,  0.994404E-01,
   1805.00    ,  0.675000    , -0.658913E-02, -0.658011E-02,  0.136815    ,
   1805.00    ,  0.850000    , -0.226416E-02, -0.225150E-02,  0.558928    ,
   1805.00    ,   1.02500    , -0.159557E-03, -0.143196E-03,   10.2543    ,
   1805.00    ,   1.20000    , -0.108623E-02, -0.106467E-02,   1.98480    ,
   2555.00    ,  0.500000    , -0.485721E-02, -0.485301E-02,  0.864110E-01,
   2555.00    ,  0.675000    , -0.970083E-03, -0.963559E-03,  0.672520    ,
   2555.00    ,  0.850000    ,  0.185558E-02,  0.186313E-02,  0.406872    ,
   2555.00    ,   1.02500    ,  0.267053E-02,  0.268117E-02,  0.398365    ,
   2555.00    ,   1.20000    ,  0.920218E-03,  0.933770E-03,   1.47269    ,
   3305.00    ,  0.500000    , -0.211583E-02, -0.211210E-02,  0.176624    ,
   3305.00    ,  0.675000    ,  0.921599E-03,  0.925912E-03,  0.467992    ,
   3305.00    ,  0.850000    ,  0.283207E-02,  0.283767E-02,  0.197892    ,
   3305.00    ,   1.02500    ,  0.293234E-02,  0.293782E-02,  0.186724    ,
   3305.00    ,   1.20000    ,  0.760838E-03,  0.768801E-03,   1.04665    ,
   4055.00    ,  0.500000    , -0.793901E-03, -0.791426E-03,  0.311795    ,
   4055.00    ,  0.675000    ,  0.162942E-02,  0.163252E-02,  0.190116    ,
   4055.00    ,  0.850000    ,  0.294678E-02,  0.294896E-02,  0.737562E-01,
   4055.00    ,   1.02500    ,  0.261108E-02,  0.261351E-02,  0.930939E-01,
   4055.00    ,   1.20000    ,  0.192827E-03,  0.199857E-03,   3.64557    ,
   4805.00    ,  0.500000    , -0.915698E-04, -0.896177E-04,   2.13182    ,
   4805.00    ,  0.675000    ,  0.188049E-02,  0.188215E-02,  0.883248E-01,
   4805.00    ,  0.850000    ,  0.279080E-02,  0.279187E-02,  0.382952E-01,
   4805.00    ,   1.02500    ,  0.216841E-02,  0.217091E-02,  0.115136    ,
   4805.00    ,   1.20000    , -0.414861E-03, -0.403731E-03,   2.68299    ,
